,country,name,fuel_type,capacity_mw,latitude,longitude,osm_id
0,BE,Centrale nucléaire de Tihange,nuclear,3008 MW,50.5335384,5.2739027,8591150
1,BE,Kerncentrale Doel,nuclear,2935 MW,51.3247584,4.2560282,15917174
2,BE,Centrale Drogenbos,gas,460 MW,50.8022716,4.2993008,23176038
3,BE,Centrale TGV Seraing,gas,470 MW,50.6030633,5.4913251,24394061
4,BE,Centrale Vilvoorde,gas,255 MW,50.9410155,4.4244008,33838112
5,BE,BASF Zandvliet Power Station,gas,400 MW,51.3700485,4.2659652,45602323
6,BE,Elektriciteitscentrale Rodenhuize,biofuel;blast_furnance_gas,215 MW,51.1346703,3.7774985,88045202
7,BE,Unnamed,solar,Unknown,50.2234992,5.1405972,90868099
8,BE,Unnamed,solar,Unknown,50.2234206,5.1409778,90868103
9,BE,Incinérateur de déchets Bruxelles-Énergie - Afvalverbrandingscentrale Brussel-Energie,waste,45 MWe,50.8830174,4.3811138,95385144
10,BE,Unnamed,solar,Unknown,50.2227556,5.1407932,99378000
11,BE,Bionerga Afvalverbranding,waste,78 kWe,51.0158489,5.3543702,99510406
12,BE,Centrale Ham,gas,170 MW,51.0603076,3.7352764,114325518
13,BE,Centrale TGV Baudour,gas,350 MW,50.4715135,3.825031,116615489
14,BE,Centrale de Lixhe,hydro,16 MW,50.7517338,5.6878571,128604237
15,BE,Milieubedrijf Beerse-Merksplas,waste,1258 kW,51.3390699,4.8725067,129051705
16,BE,T-Power CCGT site,gas,425 MW,51.0582128,5.1063275,137185678
17,BE,Uvélia,waste,30 MWe,50.6813344,5.6450176,137945178
18,BE,Centrale de Bévercé,hydro,9.2 MW,50.4389513,6.0387412,182944051
19,BE,Combined Heat and Power,gas,40 MW,51.3509619,3.2214791,206250447
20,BE,Centrale de Floriffoux,hydro,0.8 MW,50.4467255,4.7776507,223151251
21,BE,Centrale des Grands Malades,hydro,5 MW,50.4659087,4.8992904,223152441
22,BE,Centrale d'Ampsin,hydro,10 MW,50.5342684,5.2965107,223154058
23,BE,Centrale d'Ivoz-Ramet,hydro,10 MW,50.5932357,5.46134,223154245
24,BE,Agrogas,biomass,2978 kWe,51.1967493,5.0112169,227145038
25,BE,Central hydro-électrique de Heid-de-Goreux,hydro,7344 kWe,50.4561524,5.7170671,228640421
26,BE,Centrale de la Plate Taille,hydro,144 MW,50.1891828,4.3870341,239441192
27,BE,Centrale Ringvaart,gas,365 MW,51.1054591,3.7262712,241978751
28,BE,Unnamed,solar,Unknown,50.4398939,4.9391954,265031838
29,BE,Zonnepark Lauwe,solar,Unknown,50.7979387,3.2002494,268952455
30,BE,Herdersbrug,gas,460 MW,51.2627898,3.2110256,271837918
31,BE,Centrale d'Angleur,gas,178 MW,50.618053,5.5831793,309030730
32,BE,Centrale hydro-électrique de Monsin,hydro,20 MW,50.6530365,5.6322092,312050696
33,BE,Zonneberg,solar,15 MW,51.1886928,3.7879454,398756083
34,BE,Coo - Trois-Ponts,hydro,1164 MW,50.3848435,5.8615836,404484074
35,BE,Cogen 2,gas,140 MW,51.2564341,4.3383497,442665324
36,BE,WKC Albertkanaal Ham,hydro,1.2 MW,51.0973659,5.1055699,449047171
37,BE,Unnamed,solar,Unknown,50.9346198,5.4955542,478687855
38,BE,Unnamed,solar,yes,49.6906406,5.7456095,543451524
39,BE,Batterijpark Terhills,battery,18.2 MW,51.0066209,5.7112148,588589745
40,BE,Centrale d'Amercoeur,gas,451 MW,50.4305617,4.3955417,648564082
41,BE,Knippegroen,gas,315 MW,51.1586548,3.8083709,656368507
42,BE,Biostoom Oostende,waste,19 MWe,51.2100949,2.9953131,668873856
43,BE,Marcinelle Energie,gas,413 MW,50.4138133,4.4066894,676641615
44,BE,Unnamed,solar,yes,50.4716561,3.8679103,695520885
45,BE,A&S Energie,biomass,26 MW,50.9108989,3.3068295,700861943
46,BE,NMC & Luminus | Solaranlage,solar,yes,50.6771736,6.0827197,702194224
47,BE,Verbrandingsoven,waste,4.2 MW,51.2528279,3.2085806,738575412
48,BE,WKC Albertkanaal Godsheide,hydro,1.2 MW,50.9398739,5.3669193,749067602
49,BE,Norther,wind,370 MW,51.53225,3.0108322,789978857
50,BE,Deux-Acren BESS,battery,50 MW,50.727196,3.8541749,792949382
51,BE,Solar Park Heusden-Zolder,solar,"4,5 MW",51.0442595,5.3286366,799036356
52,BE,Biostoom Beringen,waste,23.6 MW,51.0684731,5.1782835,857491594
53,BE,A&U Energie,biomass,20 MW,50.919967,3.3610565,874155186
54,BE,Unnamed,solar,yes,50.0895828,5.101024,879187004
55,BE,Unnamed,solar,2 MW,50.4795788,3.8733511,883329319
56,BE,Centrale solaire photovoltaïque de Tertre,solar,6.4 MW,50.462477,3.8233224,891359004
57,BE,Unnamed,solar,Unknown,50.416001,4.0092975,892830166
58,BE,Electrabel LanXess Rubber,gas,58 MW,51.2369944,4.3355441,903227228
59,BE,Centrale hyroelectrique d'Andenne,hydro,7 MW,50.4919396,5.0697598,905051730
60,BE,Unnamed,solar,yes,50.0948123,5.1412989,909152686
61,BE,Unnamed,solar,yes,49.697569,5.6384357,909153212
62,BE,Inesco CHP Power Station,gas,130 MW,51.2411989,4.3206264,925366694
63,BE,Unnamed,solar,430 kWp,50.5004498,5.1064896,933815780
64,BE,Unnamed,solar,yes,50.8282607,4.316655,942114906
65,BE,Antwerp Total Refinery Power Station,gas,126 MW,51.2716549,4.3259346,944399651
66,BE,ISVAG,waste,20.2 MW,51.1475275,4.3772687,969933743
67,BE,Unnamed,solar,Unknown,50.6907818,4.1016105,970368942
68,BE,Unnamed,solar,Unknown,50.6911877,4.10558,970368943
69,BE,Unnamed,solar,yes,50.4272926,3.870297,993776194
70,BE,WKC Albertkanaal Olen,hydro,1.2 MW,51.1588148,4.8580976,1007543439
71,BE,Zonnepark Molenstraat,solar,yes,51.0989963,3.9968459,1011446022
72,BE,Unnamed,solar,yes,50.8109822,4.2954651,1024242110
73,BE,Station biogaz,biomass,no,49.6463619,5.8139317,1026947759
74,BE,Unnamed,solar,yes,51.007352,5.7002661,1041715382
75,BE,Unnamed,solar,yes,50.5885584,3.8310555,1089559254
76,BE,Unnamed,solar,yes,50.4331772,4.3960084,1092385671
77,BE,Unnamed,solar,yes,50.9945467,5.5419029,1097207050
78,BE,Unnamed,solar,yes,50.927667,5.5179818,1098309972
79,BE,Unnamed,solar,yes,51.2287993,5.1471155,1102818720
80,BE,Unnamed,biomass,Unknown,50.6878848,3.5283487,1134965152
81,BE,Unnamed,solar,Unknown,49.6812418,5.478868,1136538404
82,BE,Unnamed,solar,yes,51.2155803,2.9591106,1138727323
83,BE,Unnamed,solar,Unknown,50.5669422,4.68897,1169941988
84,BE,Unnamed,solar,yes,50.6958731,5.6129391,1176283937
85,BE,Unnamed,solar,yes,50.3906647,4.395179,1195019854
86,BE,Unnamed,solar,yes,50.8044724,4.9529771,1200628427
87,BE,Unnamed,solar,Unknown,50.9377697,5.4817038,1200779035
88,BE,Unnamed,solar,Unknown,50.9377427,5.4826828,1200779036
